id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_657;0;GmbH & Co. KG;12529;96090;2003;57.0;GKV;827865.14;828495.69;384088.09;17479.94;-9914.33;;9914.33;7565.61;7565.61;5969.24;412521.86;143859.45;146956.0;0.0;41805.37;;;71677.28;;;;;;121706.41;293632.6;60254.02;20855.93;;;-33825.57;-49189.78;57316.96
C_587;0;GmbH & Co. KG;12529;82999;2003;218.0;GKV;3754118.16;3754118.16;3576638.79;218364.8;-40232.66;4707.11;44939.77;178132.14;185134.73;185134.73;4541952.49;924320.32;435563.19;1745275.83;96145.54;435563.19;1745275.83;10654.66;;;;;;1436744.18;1120396.47;1119498.76;1053844.19;54952.61;;330553.9;-15824.59;-96145.54
C_356;0;GmbH;12557;46320;2003;;GKV;3050059.62;3050059.62;2703635.82;-47014.34;56196.84;56196.84;;9182.5;9182.5;9182.5;3063375.49;3063375.49;0.0;0.0;;;;;;;;;;0.0;323861.47;192001.9;70449.58;;;-87708.11;-7788.16;-105334.41
C_467;0;GmbH;10117;70220;1990;71.0;GKV;553921.37;553921.37;512309.33;86356.8;-12876.99;;12876.99;73479.81;73479.81;55100.24;1085765.94;161713.32;0.0;891248.5;;;688816.48;8397.88;;;;;;32804.12;123350.71;220330.44;80650.31;33879.4;;121372.97;-284636.08;212544.91
C_146;0;GmbH;12049;71121;2004;;GKV;1039685.5;1039685.5;987529.04;-1097089.37;1433163.58;30346.12;148219.72;336074.21;336074.21;219907.14;23935468.29;455224.85;2201003.32;874993.0;;;;50943.96;;;;;;20404247.12;154766.3;181232.03;10499.86;;;752172.36;-617985.25;-142225.0
C_426;0;GmbH;12109;45200;1984;;GKV;602378.78;602378.78;429945.62;98472.71;10.69;10.69;;98483.4;98483.4;68205.27;220077.7;59310.43;50000.0;500.0;88.0;;;5188.59;;;;;;110267.27;204886.81;206236.7;146399.74;;;136445.71;-10865.94;-4.370000000000001e-11
C_084;0;GmbH;14467;81100;2005;487.0;GKV;298211.68;298211.68;298294.9;28915.11;-26221.62;;26221.62;2693.49;2693.49;2693.49;1233117.4;1233117.4;0.0;0.0;;;;28017.09;;;;;;;354796.8;355890.97;332485.42;;;13657.69;0.0;-811700.0
C_051;0;GmbH & Co. KG;16356;52291;2003;;GKV;5780193.26;6463030.86;2343817.05;461313.49;-6773.56;1610.04;8383.6;454539.93;454539.93;311018.93;1666103.89;1299885.28;0.0;26450.0;;;;214329.72;;;;;;339768.61;1511210.89;1452375.62;1290319.45;151185.17;272.46;39965.28;-68200.89;-239863.77
C_608;0;GmbH;13587;88101;2006;454.0;GKV;18501197.54;18501197.54;1308849.82;251315.86;-26573.98;82.48;26656.46;224741.88;224741.88;151891.46;2536228.67;900015.25;476097.36;0.0;211794.08;;;646374.67;;;;;;1160116.06;2313610.67;882746.83;92873.22;;;579997.87;0.0;-560042.41
C_298;0;GmbH;12051;46165;2008;;GKV;1344384.99;1344384.99;720460.86;162729.06;;;;162729.06;162729.06;0.0;311205.92;286205.92;0.0;0.0;;;;;;;;;;25000.0;311205.92;184568.57;182326.71;;;158068.74;0.0;-87093.64
C_505;0;GmbH;14482;41000;2008;;GKV;20053814.23;20053814.23;10552042.66;728426.61;-192766.77;0.96;192767.73;535659.84;535659.84;467427.81;12566273.56;11566273.56;0.0;0.0;;;;1292949.86;;;;;;1000000.0;4511767.92;2048205.75;;;;4587743.9;-4176259.9;-411484.0
C_321;0;GmbH;12439;46493;2010;;GKV;44167987.83;44167987.83;44246326.96;2592756.33;68930.56;213237.34;144306.78;2661686.89;2661686.89;2304221.4;41319500.48;40203526.61;0.0;0.0;1506.94;;;295384.26;;;;;;1115973.87;41317309.64;41272326.48;;2965.0;;17114.8;-21322.58;4207.78
C_327;0;GmbH;13507;96000;2011;;GKV;40089536.3;40091480.44;1143525.12;280981.07;-11048.33;1066.85;12130.78;269932.74;269932.74;186251.93;2903557.7;2243353.72;0.0;0.0;;;;1804902.44;;;;;;660203.98;2813478.61;2468228.13;55670.64;;;418537.34;-35774.19;-180000.0
C_472;0;GmbH & Co. KG;38112;43210;1994;168.0;GKV;5610412.39;5610412.39;4469845.08;591105.12;14570.99;14570.99;;605676.11;684263.09;573985.85;1303745.6;538252.92;0.0;0.0;;;;37997.06;;;;;;765492.68;1181065.02;217770.58;27500.93;190269.65;;435254.46;-14620.94;-507493.64
C_912;0;Genossenschaft;49413;46610;1919;33.0;GKV;642247.84;1142247.84;579004.16;127198.4;-2000.68;5.69;2006.37;125197.72;125197.72;90613.32;1889096.66;1677987.76;0.0;0.0;;;;976.51;;;;;;211108.9;1814395.33;309832.07;276332.99;;;197604.59;-21474.41;-82.19
C_318;0;GmbH & Co. KG;27419;46520;2006;;GKV;59754.62;59754.62;27059.95;456.99;-438.15;4746.35;5184.5;18.84;18.84;970.78;286561.21;7957.91;1100.0;0.0;;;;;;;;;;277503.3;263313.71;47413.98;15010.7;;;99409.52;-1538.01;-86007.65
C_481;0;GmbH;24999;52291;2009;;GKV;15203996.86;15203996.86;15121656.29;687517.49;31488.38;32086.79;598.41;719005.87;719005.87;499375.81;4093611.71;1522834.82;0.0;0.0;;;;44028.24;;;;;;2570776.89;4014930.33;234484.71;13534.82;;;-403607.33;-8471.79;421665.91
C_286;0;GmbH;37073;96090;2006;;GKV;19523360.69;19523360.69;18342231.85;-44376.03;-16595.0;364.12;16959.12;-60971.03;-60971.03;-64266.83;5564992.78;2519632.85;55994.13;0.0;31098.93;55994.13;;225167.72;;;;;;2637330.73;2290700.1;1787564.74;329055.96;1253653.67;;114223.57;-200834.45;-260256.15
C_204;0;GmbH;38723;62020;1991;;GKV;2260287.42;2260287.42;2318925.02;929814.23;-808185.49;;808185.49;121628.74;121628.74;47239.62;16305655.12;16202050.0;0.0;4020.0;;;;;;;;;;99585.12;174733.12;38418.85;38418.85;;;15297762.72;0.0;-994333.44
C_476;0;GmbH;20095;90042;1932;372.0;GKV;402412.07;402412.07;51026.11;-17949.88;;;;-17949.88;-18697.63;-18095.03;254421.75;254421.75;0.0;0.0;;;;;;;;;;3.64e-12;249668.87;249661.51;11458.54;;;10981.55;0.0;1.64e-11
C_449;0;AG;22083;70109;1994;875.0;GKV;122337.4;122337.4;47896.1;32241.58;-1104.88;;1104.88;31136.7;31136.7;30858.7;38299.53;9967.09;16458.63;0.0;158.43;;;191.53;;;;;;11873.81;19725.03;19725.03;16671.1;;;38944.52;-18956.16;-18565.25
C_798;1;GmbH & Co. KG;20354;68201;1997;;GKV;3209966.14;2747721.25;907789.2;32283.3;-2832.52;2596.94;5429.46;29450.78;29450.78;19188.41;1812944.09;461767.27;0.0;0.0;;;;218948.29;;;;;;63620.46;1748710.78;222051.12;35472.08;;;-34729.08;11256.52;11748.09
C_351;0;GmbH;20097;46310;1998;;GKV;16327.7;16327.7;16327.7;1460.28;2541.64;4055.46;1513.82;4001.92;4001.92;3365.04;521107.71;29723.28;40000.0;130138.14;;;130138.14;4561.4;;;;;;321246.29;379743.15;41580.7;40899.59;;;-20337.77;-142154.79;170138.14
C_743;0;GmbH;21031;68100;1993;;GKV;612714.71;612714.71;191044.64;4422.99;-666.91;;666.91;3756.08;3756.08;1326.25;225178.32;69665.95;11571.7;103235.66;;;;55972.09;;;;;;40705.01;206862.32;194756.41;44256.4;150500.01;;-13228.79;2738.91;-11286.05
C_563;0;GmbH;20537;96090;2001;;GKV;95239.49;95239.49;78586.72;-74668.0;-7111.83;3.17;7115.0;-81779.83;-81779.83;-81779.99;211866.26;6277.96;64068.33;0.0;;;;;;;;33911.06;;141519.97;92691.29;67765.46;44235.67;;;-85459.76;-214.29;181196.48
C_099;0;GmbH;21107;10410;2005;137.0;GKV;103632068.9;104603275.3;39557201.29;10487424.07;-752049.34;56949.38;853798.09;9735374.73;9722386.4;7839594.1;76261254.68;30265500.71;9750492.415;8760219.38;2017000.0;6975000.0;6543511.67;1835201.56;;;;;;23028694.1;17208542.6;16972827.36;8687966.95;7366863.62;;32958351.44;-10416461.6;-14308085.97
C_553;0;GmbH;22525;68100;2005;;GKV;445489.98;445489.98;183569.19;2866.22;532.89;532.89;;3399.11;3399.11;1594.16;90244.86;45459.73;0.0;0.0;;;;29372.84;;;;;;44785.13;85273.86;36274.69;8130.54;;;-5773.18;-326.01;-532.89
C_115;0;GmbH;20354;50200;2008;63.0;GKV;11820.0;11820.0;169160.92;27102.2;-3937.52;0.04;3937.56;23164.68;23164.68;21714.84;196119.88;90970.07;0.0;0.0;;;;;;;;;;105149.81;63006.54;19085.54;2955.26;;;43234.32;7240.0;3351.12
C_401;0;GmbH & Co. KG;70567;35113;2001;;GKV;1380599.92;1380599.92;1314522.53;152285.06;-52039.4;3865.62;56675.02;100245.66;102317.66;72432.4;1418049.33;208601.24;3000.0;870908.69;;;850419.69;46983.29;;;;;;335539.4;499141.24;434735.54;373745.74;47515.61;;149932.31;-13394.37;-203011.39
C_764;0;GmbH & Co. KG;25980;47770;2009;25.0;GKV;27977387.15;28020290.99;4597863.94;470496.98;101453.88;146048.56;83441.31;571950.86;571950.86;487886.48;9079382.09;5363240.89;0.0;96977.0;2000514.67;;;652415.17;;;;;;3625194.98;5713279.65;2159931.85;145758.94;1789606.42;;1786352.87;-713197.74;-281224.05
C_238;0;GmbH;37627;35130;1973;2.0;GKV;291897.81;291897.81;214132.58;19309.7;;;;19309.7;19309.7;19309.7;180375.8;144898.58;0.0;0.0;;;;127812.74;;;;;;35477.22;98268.16;38395.86;9375.05;28806.0;;25524.73;-16738.98;-300.85
C_302;0;GmbH & Co. KG;37691;10710;1964;;GKV;382023072.3;353401964.3;154793864.7;38970631.22;-3056600.31;81684.07;3230897.79;35914030.91;35914030.91;31223282.57;219540702.1;136899312.6;0.0;3948991.0;;;;;;;;;;120000000.0;138776758.1;40207991.36;1097605.57;;;56549834.83;-21001174.72;-26823282.57
C_702;1;KG;37603;77320;1985;;GKV;2077952.79;2861062.79;1713035.9;74610.7;-33653.47;121.39;33774.86;40957.23;40957.23;40036.38;2241807.39;1558452.54;508325.56;75206.0;154655.3;471634.52;75206.0;410256.0;36691.04;;;;;99823.29;2076910.05;834716.96;12632.25;322304.85;;68523.86;-18372.93;151094.47
C_207;0;Sonst. Gewerbetreibende;30900;68200;2000;;GKV;61449468.89;61466917.58;55953365.75;-14746226.93;-1271133.38;4469.82;1275603.2;-16017360.31;-16017360.31;-16151695.75;76947070.4;58794230.8;7300000.0;0.0;;;;1824827.44;;;;;;4687414.51;23745697.75;10286842.67;1927376.93;6904791.31;;13298164.8;-3164678.84;-10967218.68
C_287;0;GmbH & Co. KG;30167;68200;2002;;GKV;1580429.99;1589268.74;995857.41;51640.72;-15345.83;2003.46;17659.29;36294.89;35050.35;31902.96;390099.07;237661.78;30450.0;17500.0;;;;;;;;;;46016.27;304931.86;150673.88;859.63;;;25877.77;-6215.69;-13336.45
C_435;0;GmbH;30165;62011;2004;;GKV;15624177.07;15624177.07;28884221.73;-13264361.39;14962803.46;28463.98;618424.69;1698442.07;1698442.07;170211.7;117377163.2;64781868.24;0.0;0.0;16920000.0;;;1921954.39;;;;;;52595294.94;21231215.98;21058820.13;6915302.93;2464874.96;;5807978.54;-19796351.91;0.0
C_877;0;GmbH & Co. KG;30161;41103;2006;26.0;GKV;3376790.18;4308851.77;892305.49;-67731.78;-48773.39;628.39;49401.78;-116505.17;-116505.17;-85325.35;2770588.17;536155.95;1831502.54;0.0;;1831502.54;;338215.31;;;;;;387994.22;2312410.58;252506.19;61705.36;;;-899711.87;-68229.73;1036173.42
C_731;0;GmbH;31303;35130;2007;;GKV;3372503.45;3371559.27;2632339.32;489834.57;9260.06;19296.43;10036.37;499094.63;499094.63;2.33e-10;645221.54;620221.54;0.0;0.0;;;;13827.27;;;;;;25000.0;627385.54;103786.45;73477.04;;;498561.45;-4201.75;-452301.2
C_509;0;GmbH;31171;45100;2001;;GKV;6627044.56;6627044.56;5001597.91;417986.5;-100783.89;8475.84;109259.73;317202.61;317202.61;202248.6;3756976.86;1492039.0;1372224.59;3800.0;705352.14;1353185.09;3800.0;259238.49;;;;;;869873.77;1146395.36;774530.98;56047.2;609614.36;;701245.6;-967194.26;-133613.86
C_883;0;GmbH;31177;71122;2005;22.0;GKV;496152.3;496152.3;450563.42;17003.79;3179.71;5009.17;1829.46;20183.5;20183.5;13964.51;336211.48;224124.7;0.0;0.0;;;;55811.95;;;;;;112086.78;304770.12;278661.54;67199.68;;;92859.8;-5191.76;-10170.58
C_492;0;GmbH;26892;17210;1985;133.0;GKV;26335655.95;26156551.46;14448931.93;6739185.08;-3448475.13;10662.33;3472573.19;3290709.95;3290709.95;2032891.02;175716314.6;15052054.16;22720219.46;93836942.17;4345580.0;20002402.6;83403483.14;1239365.66;116090.4;104145.07;;;;44107098.84;12708998.85;4774498.23;3527417.3;276178.11;;6405571.73;-11621596.6;6104467.57
C_137;0;GmbH;26506;85424;1998;406.0;GKV;3816679.22;3798730.42;2397288.23;760798.08;-429427.77;4710.67;434194.44;331370.31;325938.44;199479.56;22727119.07;2826226.43;4507548.245;9369436.48;851467.04;3935011.68;8461553.8;186920.2;;;;;;5630648.27;2659159.83;1434511.49;1201245.34;173340.19;;1056584.75;-2486068.07;1268433.03
C_736;0;OHG;49757;16230;2008;;GKV;12699478.65;12702095.11;7830897.74;-6707113.13;-173609.04;1396.91;175005.95;-6880722.17;-6880722.17;6.98e-10;7405778.82;3260506.61;2439272.21;1232000.0;617000.0;2439272.21;1232000.0;1118610.9;;;;;;474000.0;2254106.09;1598509.63;613811.15;488411.32;;-5322316.86;-454223.91;5000989.39
C_413;0;GmbH & Co. KG;49716;45100;2000;;GKV;30000.0;30000.0;30012.5;28216.1;17198.01;10948.01;;45414.11;45414.11;38228.51;249137.69;3407.21;0.0;0.0;;;;29.75;;;;;;245730.48;249137.69;224132.94;;;;4.83e-12;0.0;0.0
C_786;0;GmbH & Co. KG;23714;46712;1979;;GKV;25048171.66;25063195.71;20085538.27;1098223.46;-93549.48;10131.11;103680.59;1004673.98;1004673.98;996712.35;30806989.43;14812683.77;0.0;0.0;;;;615965.02;;;;;;6652120.67;4714819.11;4000379.15;1474007.75;;;1277188.38;-275147.31;-40584.46
C_760;0;GmbH & Co. KG;24539;47710;1937;129.0;GKV;163882.65;163882.65;135223.31;430.93;-476.04;84.74;560.78;-45.11;-45.11;-45.11;245123.16;220687.56;0.0;0.0;;;;;;;;;;24435.6;91227.84;65717.91;44709.8;20069.05;;82773.66;-110392.49;1.46e-11
C_573;0;GmbH & Co. KG;24782;47591;1992;;GKV;1528445.76;1528445.76;1046091.53;146325.51;-21127.51;11166.33;32293.84;125198.0;125198.0;120585.39;379480.47;241082.99;54019.04;0.0;130259.12;;;20784.33;;;;;;84378.44;374247.47;126099.0;4077.05;92985.55;;48319.42;17507.5;-70512.47
C_066;0;GmbH;49143;1610;1988;44.0;GKV;362232000.0;362232000.0;153819000.0;25753000.0;156174000.0;6624000.0;906000.0;181927000.0;181927000.0;148644000.0;747242000.0;247289000.0;2337500.0;4279000.0;;;;37976000.0;;;;;;490433000.0;422775000.0;395800000.0;84468000.0;1584000.0;193000.0;147618000.0;-54005000.0;-121097000.0
C_922;0;GmbH;49638;46220;1998;;GKV;38299417.93;38299417.93;7523911.97;437184.54;1132100.06;2331.57;14420.42;1569284.6;1569284.6;1324029.76;10402365.3;6421260.7;0.0;234172.5;;;;4077153.05;;;;;;4246932.1;7959596.11;6017362.94;597959.16;;;1731981.15;-500089.24;-1800000.0
C_185;0;GmbH & Co. KG;49134;68202;2002;;GKV;17354380.57;17028511.57;8258413.96;61189.86;-3198.09;186.99;3385.08;57991.77;57991.77;0.0;3506627.67;3640032.58;0.0;0.0;;;;778277.69;;;;;;51214.59;3445423.73;1800599.57;4643.97;475279.56;;-1388728.87;-12834.74;1401797.73
C_226;0;GmbH & Co. KG;49594;28410;1982;;GKV;5329986.1;5457368.1;3978661.38;1916978.38;-1639725.03;77992.03;1717717.06;277253.35;277253.35;385615.31;61543269.26;2282712.76;2166000.0;39337000.0;500172.63;2166000.0;39337000.0;165467.21;;;;;;17757556.5;4468937.49;3872125.18;1894884.1;;;2043375.43;-145346.99;-1339418.8
C_544;0;GmbH;49328;46901;1992;27.0;GKV;156489.5;160145.75;164012.16;-43711.58;42.35;42.35;;-43669.23;-42353.43;-35787.95;90400.09;14495.68;0.0;0.0;;;;;;;;;;75904.41;64735.67;56566.15;23309.09;;;-15916.81;-277.3;0.0
C_183;0;GmbH;29525;49310;2002;416.0;GKV;27619277.07;27619277.07;4475636.82;1233173.35;6650.26;5550.26;;1239823.61;1239823.61;834391.6;3295023.78;1149823.95;0.0;0.0;;;;674962.84;;;;;;2145199.83;3051181.11;2576224.52;824203.72;;;1229479.46;-5394.3;-1000000.0
C_370;0;GmbH;27432;43330;2006;;GKV;1004184.45;1254299.38;518901.27;89704.76;-12998.13;13870.33;26868.46;76706.63;1706.63;461.26;1192622.23;1063281.51;16184.15;0.0;291602.12;;;94466.13;;;;;;113156.57;1132989.39;197428.97;;;;-115038.28;-2386.38;-7365.17
C_887;0;GmbH;26127;70109;1979;;GKV;6610010.9;6838731.88;6018339.61;-322527.6;-90643.6;7530.7;17904.19;-413171.2;-413171.2;-374589.92;4346708.69;514986.31;491000.0;341000.0;113125.93;491000.0;341000.0;70590.93;;;;;;2999722.38;2982240.95;3042921.77;1613434.81;1023102.12;;16840.87;-315445.61;832000.0
C_133;0;GmbH;26180;38210;2001;;GKV;691709.91;691709.91;172404.6;13704.01;-67.1;;67.1;13636.91;13636.91;9243.64;122906.18;42853.15;0.0;0.0;;;;27669.86;;;;;;80053.03;121903.18;117956.56;41204.59;;;-17345.53;-85.14;-1.46e-11
C_584;0;GmbH;23847;43220;1919;;GKV;667256344.0;668719342.0;266657941.0;-9240774.0;37110802.0;659103.0;6958218.0;27870028.0;20279699.0;0.0;356749425.0;137131787.0;794054.5;99067476.0;;;;;;;;;;118962053.0;144086878.0;5251172.0;125377.0;;;43382564.0;-23571739.0;-19775820.0
C_949;0;GmbH;22926;46370;1893;375.0;GKV;16237291.92;16237291.92;16105702.47;706583.91;-133231.95;;133231.95;573351.96;731536.63;722756.1;20560036.73;3088126.18;217255.5;1958570.0;38294.87;213102.07;1958570.0;836525.33;4153.43;;;;;8953587.49;13751623.66;7504198.19;5940357.48;1217007.59;;1482042.38;-1279519.28;28354.89
C_194;1;GmbH;22880;21200;1963;966.0;GKV;65172278.34;65215458.34;8463739.77;1613029.25;-1519659.32;85832.01;1605491.33;93369.93;93369.93;79239.73;117823221.9;86929187.7;30093417.2;0.0;;;;72823430.74;;;;;;800617.02;113341791.8;24814153.4;69247.58;;;215409.18;-29634.34;-7.45e-09
C_984;0;GmbH;22926;26511;2010;;GKV;33713421.67;33789211.62;12513552.04;1293207.57;9355.63;9355.63;;1302563.2;1302563.2;1.51e-09;9777392.88;12105163.4;0.0;0.0;;;;;;;;;;38521.07;8821114.62;6156816.96;7627.01;;;2560910.44;-528403.89;-2132921.14
C_199;0;GmbH;49824;46210;1992;;GKV;7396889.56;7396889.56;2632172.87;500030.95;-3559.12;;3559.12;496471.83;496471.83;406780.83;1288756.99;508371.21;84310.73;0.0;44404.44;;;220227.2;;;;;;696075.25;1092581.35;505287.35;32685.12;;;396812.23;-91715.0;-303877.77
C_982;0;GmbH;49809;71122;1998;;GKV;138892586.3;138892586.3;17409501.77;1053960.25;294709.62;480754.06;186044.44;1348669.87;1311158.35;730046.34;26007912.62;21684458.4;0.0;0.0;;;;1116190.19;;;;;;4323454.22;21918198.19;5211034.94;3771124.12;335368.22;;3777567.76;-370838.54;-3372299.6
C_601;0;GmbH;3042;46743;1991;77.0;GKV;2254257.38;2254257.38;2274765.16;-269558.99;6701846.89;15178.15;64716.71;6432287.9;6432287.9;5763497.91;10502338.27;1335582.59;36897.25;0.0;9115.0;;;43057.46;;;;;;9129858.43;5876746.38;422063.82;421901.82;;;1261308.93;-630081.19;-86311.77
C_632;0;GmbH;3046;46520;1991;;GKV;485.68;485.68;945268.74;140892.95;2242.69;2242.69;;143135.64;143135.64;74000.13;527067.32;57882.32;0.0;0.0;;;;8296.84;;;;;;469185.0;404192.15;406522.01;113748.01;24.61;;-113486.98;-15334.32;5.8200000000000003e-11
C_831;0;GmbH;4916;82000;1996;;GKV;2228536.28;2251784.0;333461.99;8894.17;4983.26;8166.45;3295.99;13877.43;13877.43;13487.93;906325.12;224986.31;20539.43;178449.0;5967.36;;;74700.74;;;;;;16886.23;832197.34;280626.72;111036.43;;;240593.4;-20552.16;-166486.96
C_868;0;GmbH & Co. KG;3048;70109;1986;;GKV;778229.96;887828.51;411580.5;71001.15;-12235.08;;12235.08;58766.07;58766.07;53777.41;335578.72;173156.72;70502.0;0.0;54089.98;;;83282.29;;;;;;;182863.59;31551.65;74.53;;;81909.98;-4911.44;-48271.59
C_135;0;GmbH;1159;62019;1990;95.0;GKV;1462740.19;1462740.19;2102943.19;723893.28;-217471.97;;217471.97;506421.31;506421.31;437078.06;7116900.77;197483.54;6009079.11;0.0;;;;4410.62;;;;;;910338.12;256629.96;230764.2;230764.2;;;2003524.1;-1582950.12;-20438.6
C_880;0;GmbH;1920;70109;1990;;GKV;753554.11;753554.11;762447.55;320182.94;-8508.85;297.92;8806.77;311674.09;311674.09;218055.83;979447.22;389524.94;0.0;0.0;148793.21;;;138218.29;;;;;;589922.28;754860.65;729812.59;307356.78;405928.3;;82488.15;-2948.02;5.8200000000000003e-11
C_153;0;GmbH;1728;46731;1991;25.0;GKV;2713942.58;2713942.58;2367031.26;1301411.01;-2891.97;1774.31;4666.28;1298519.04;1298519.04;894972.94;1231424.19;249061.1;0.0;60707.0;;;;39084.66;;;;;;921656.09;1114201.89;1115319.66;721274.78;386129.75;;1338875.32;-47507.75;-734864.58
C_919;0;BGB-Gesellschaft;1705;47530;1945;;GKV;801165.15;814798.84;448608.24;83267.01;-7921.49;3146.31;11095.3;75345.52;76099.2;67181.95;214572.88;190377.5;24195.38;0.0;;24195.38;;104554.15;;;;;;;142134.96;84933.83;8184.93;60095.69;32896.82;24567.11;-2683.44;-30532.15
C_219;0;GmbH;1561;28990;1990;127.0;GKV;1544981.24;1681537.23;1443902.77;363070.26;-3876.39;3078.72;6955.11;359193.87;339088.79;293172.94;743795.88;732937.51;10858.37;0.0;;;;390285.83;;;;;;;527398.7;286215.37;154972.27;;;583418.52;-3192.4;-444855.56
C_879;0;GmbH;1139;55101;1993;;GKV;159262.89;159262.89;154239.39;-1565.2;-2039.32;;2039.32;-3604.52;-3604.52;-4651.52;65258.2;24170.19;29403.47;0.0;;;;8732.86;;;;;;11684.54;42862.27;55683.54;21022.4;;;-10721.79;9017.31;-1.64e-11
C_015;0;Freiberufler;1099;69102;1978;;GKV;770385.52;770385.52;826616.26;273773.81;-90619.31;47.9;90667.21;183154.5;183154.5;149952.5;2208864.01;198283.62;1617793.3;0.0;133823.92;;;13104.28;;;;;;358667.09;115961.86;52058.89;15605.74;;;528845.78;-76212.58;-296059.24
